Cantidad de Procesos,Hora de Inicio,Hora de Fin
25,0,173.92924856353804
25,1,22.848665942472458
25,2,133.34364393660545
25,3,276.7624778697435
25,4,108.21554896275617
25,5,391.91103011869836
25,6,206.42274528970336
25,7,330.52952304302624
25,8,433.74707003429876
25,9,470.68872133120084
25,10,557.9767866881203
25,11,625.9203734950268
25,12,590.3385602097516
25,13,642.946412023895
25,14,936.2161187377302
25,15,780.4764530960665
25,16,911.8938092437476
25,17,1100.9611897053658
25,18,1145.0913470743603
25,19,1059.82982013123
25,20,1174.8360631769483
25,21,1090.179239233605
25,22,1142.3058253932081
25,23,1243.8715000801164
25,24,1372.1640075166645
50,0,2.8362219171296053
50,1,44.68694891314357
50,2,126.82462590131779
50,3,297.20433584306204
50,4,123.71567619419812
50,5,384.0794957990456
50,6,374.69955462601604
50,7,421.6417815023891
50,8,440.62027705775927
50,9,593.688657209167
50,10,663.3531423958703
50,11,655.1388122451623
50,12,765.6198116937699
50,13,751.652412398581
50,14,670.4454290210515
50,15,797.8078886983527
50,16,1055.4866312984605
50,17,887.4710748714741
50,18,930.5682029628285
50,19,1153.040705020841
50,20,1126.1208142844494
50,21,1122.7414843618963
50,22,1297.1418600376905
50,23,1182.8508111516317
50,24,1296.1308472512733
50,25,1228.6562190006694
50,26,1299.2450152748388
50,27,1535.1124651548912
50,28,1591.283263835593
50,29,1624.0323018493768
50,30,1580.6985016515855
50,31,1477.4067743648889
50,32,1528.1927280348393
50,33,1778.5421273917402
50,34,1623.5968537494894
50,35,1670.6380305975208
50,36,1867.7575807543674
50,37,1746.9481213033291
50,38,1775.8503976758925
50,39,1815.2188382868337
50,40,1911.617822243348
50,41,2085.381984910403
50,42,1900.90708886785
50,43,2114.902880538507
50,44,2230.56143731254
50,45,2281.42956154308
50,46,2255.225971399783
50,47,2356.9833027822647
50,48,2366.584781518643
50,49,2455.117703882952
100,0,5.919308269372326
100,1,35.405967435598825
100,2,133.61632537476186
100,3,93.99025257002147
100,4,295.8631063358316
100,5,306.5055288434012
100,6,303.74252933489964
100,7,424.08508275384986
100,8,463.63995158634316
100,9,491.44058293065206
100,10,630.2605588044167
100,11,733.7778357824736
100,12,871.7098906091198
100,13,647.3448334111224
100,14,774.5256568169929
100,15,952.8028817638653
100,16,937.2017174794519
100,17,862.6822161323166
100,18,933.5085320517528
100,19,1161.8141761122008
100,20,1032.144831706164
100,21,1126.031343085172
100,22,1152.2666205442026
100,23,1198.7713106850103
100,24,1371.3578234586776
100,25,1342.9571724670857
100,26,1378.7456594155783
100,27,1358.9528553691343
100,28,1699.212341147332
100,29,1400.276804522375
100,30,1468.857060573905
100,31,1729.9461476581914
100,32,1755.811429432217
100,33,1549.4957048154374
100,34,1746.904954420289
100,35,1695.605124541948
100,36,1808.8130546435577
100,37,1825.0424743636133
100,38,1793.2826372642728
100,39,1901.5928529932296
100,40,2073.9929996515184
100,41,1860.0299472243214
100,42,2066.0729365393836
100,43,1942.4936412592153
100,44,2247.1584500542954
